Lde,Dde,P15,P16,P17,P18,P19,P20,P1,P22,P23,Source-Prop-Ent
Bridging the Expertise of Advocates and Academics to Identify Reproductive Justice Learning Outcomes,Publikation,"Loder CM, Minadeo L, Jimenez L, Luna Z, Ross L, Rosenbloom N, Stalburg CM, Harris LH",Teach Learn Med,Jan-Mar;32(1):11-22,+2020-01-01T00:00:00Z/9,10.1080/10401334.2019.1631168,Reproductive justice; advocacy; curriculum development; health disparities,https://pubmed.ncbi.nlm.nih.gov/31293184/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Sex definitions and gender practices. An update from Australia,Publikation,Cregan K,Camb Q Healthc Ethics,Jul;23(3):319-25,+2014-01-01T00:00:00Z/9,10.1017/S0963180113000923,,https://pubmed.ncbi.nlm.nih.gov/24867337/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
THE TREATMENT OF INTERSEX AND THE PROBLEM OF DELAY: THE AUSTRALIAN SENATE INQUIRY INTO INTERSEX SURGERY AND CONFLICTING HUMAN RIGHTS FOR CHILDREN,Publikation,O'Connor M,J Law Med.,Mar;23(3):531-43,+2016-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/27323632/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
The human rights of intersex people: addressing harmful practices and rhetoric of change,Publikation,Carpenter M,Reprod Health Matters,May;24(47):74-84,+2016-01-01T00:00:00Z/9,10.1016/j.rhm.2016.06.003,disorders of sex development; harmful practices; hermeneutical injustice; human rights; intersex,https://pubmed.ncbi.nlm.nih.gov/27578341/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Disorders of Sexual Differentiation: Ethical Considerations Surrounding Early Cosmetic Genital Surgery,Publikation,Anderson S,Pediatr Nurs,Jul-Aug;41(4):176-86,+2015-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/26470466/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Queering reproductive access: reproductive justice in assisted reproductive technologies,Publikation,Tam MW,Reprod Health,Aug 2;18(1):164,+2021-01-01T00:00:00Z/9,10.1186/s12978-021-01214-8,,https://pubmed.ncbi.nlm.nih.gov/34340704/,Sterilisation von intergeschlechtlichen Personen (meist unfreiwillig),Geschlecht,"P3"
Vasectomy,Publikation,"Edwards IS, Farlow JL",Med J Aust,Jan 12;1(1):39,+1980-01-01T00:00:00Z/9,10.5694/j.1326-5377.1980.tb134598.x,,https://pubmed.ncbi.nlm.nih.gov/7360080/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Microrecanalization after vasectomy in man,Publikation,"Freund MJ, Weidmann JE, Goldstein M, Marmar J, Santulli R, Oliveira N",J Androl,Mar-Apr;10(2):120-32,+1989-01-01T00:00:00Z/9,10.1002/j.1939-4640.1989.tb00073.x,,https://pubmed.ncbi.nlm.nih.gov/2715100/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Fatherhood without apparent spermatozoa after vasectomy,Publikation,"Smith JC, Cranston D, O'Brien T, Guillebaud J, Hindmarsh J, Turner AG",Lancet,Jul 2;344(8914):30,+1994-01-01T00:00:00Z/9,10.1016/s0140-6736(94)91052-9,,https://pubmed.ncbi.nlm.nih.gov/7912302/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Evaluation of one-hundred open-ended vasectomies,Publikation,"Temmerman M, Cammu H, Devroey P, Amy JJ",Contraception,Jun;33(6):529-32,+1986-01-01T00:00:00Z/9,10.1016/0010-7824(86)90040-5,,https://pubmed.ncbi.nlm.nih.gov/3769480/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Paternity after vasectomy with two previous semen analyses without spermatozoa,Publikation,"Lucon M, Lucon AM, Pasqualoto FF, Srougi M",Sao Paulo Med J,Mar 1;125(2):122-3,+2007-01-01T00:00:00Z/9,10.1590/s1516-31802007000200011,,https://pubmed.ncbi.nlm.nih.gov/17625712/,Sterilisation des Mannes (Vasektomie),Effizienzmaße,P9
Vasectomy: Current information,Publikation,"Kreutzig-Langenfeld T, Lellig E, Hinz P, Zilg F",Urologe A,Apr;60(4):523-532,+2021-01-01T00:00:00Z/9,10.1007/s00120-021-01494-9,Contraception; Contraception without side effects; Fertility; Hormone-free contraception; Men; No-scalpel vasectomy; Sterilization,https://pubmed.ncbi.nlm.nih.gov/33738559/,Sterilisation des Mannes (Vasektomie),Geschlecht,"P3"
Vasectomy occlusion techniques for male sterilization,Publikation,"Cook LA, Van Vliet HA, Lopez LM, Pun A, Gallo MF",Cochrane Database Syst Rev,Mar 30;2014(3):CD003991,+2014-01-01T00:00:00Z/9,10.1002/14651858.CD003991.pub4,,https://pubmed.ncbi.nlm.nih.gov/24683020/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
"Outpatient Vasectomy: Safe, Reliable, and Cost-effective",Publikation,"Zeitler M, Rayala B",Prim Care,Dec;48(4):613-625,+2021-01-01T00:00:00Z/9,10.1016/j.pop.2021.08.001,Contraception; Outpatient; Safety; Vasectomy,https://pubmed.ncbi.nlm.nih.gov/34752273/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Vasectomy reversal,Publikation,Practice Committee of American Society for Reproductive Medicine,Fertil Steril,Nov;90(5 Suppl):S78-82,+2008-01-01T00:00:00Z/9,10.1016/j.fertnstert.2008.08.097,,https://pubmed.ncbi.nlm.nih.gov/19007653/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Current status of vasectomy reversal,Publikation,"Schwarzer JU, Steinfatt H",Nat Rev Urol,Apr;10(4):195-205,+2013-01-01T00:00:00Z/9,10.1038/nrurol.2013.14,,https://pubmed.ncbi.nlm.nih.gov/23399733/,Sterilisation des Mannes (Vasektomie),Material des Verhütungsmittels,P5
Is there a place for tubal ligation in modern contraception?,Publikation,"von Mering R, Merki GS, Keller P",Gynakol Geburtshilfliche Rundsch,Jan;43(1):25-30,+2003-01-01T00:00:00Z/9,10.1159/000067166,,https://pubmed.ncbi.nlm.nih.gov/12499754/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
FSFI score and timing of tubal ligation in patients: preliminary results of an online survey,Publikation,"Walter S, Upadhjay M, Beslic J, Pucher M, Herbel R, Stavroula S, Dayan D, Janni W, Ebner F",Arch Gynecol Obstet,Sep;306(3):795-800,+2022-01-01T00:00:00Z/9,10.1007/s00404-022-06547-8,FSFI; Regretting; Sterilisation; Tubal ligation,https://pubmed.ncbi.nlm.nih.gov/35397718/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
Salpingectomy vs tubal ligation for sterilization: a systematic review and meta-analysis,Publikation,"Mills K, Marchand G, Sainz K, Azadi A, Ware K, Vallejo J, Anderson S, King A, Osborn A, Ruther S, Brazil G, Cieminski K, Hopewell S, Rials L, Klipp A",Am J Obstet Gynecol,Mar;224(3):258-265.e4,+2021-01-01T00:00:00Z/9,10.1016/j.ajog.2020.09.011,risk-reducing salpingectomy; risk-reducing surgery; salpingectomy; sterilization; surgery to reduce the risk of ovarian cancer; tubal ligation,https://pubmed.ncbi.nlm.nih.gov/32941790/,Sterilisation der Frau (Tubenligatur),Material des Verhütungsmittels,P5
Vaginal tubal ligation,Publikation,Stephens DB,South Med J,Dec;73(12):1578-80,+1980-01-01T00:00:00Z/9,10.1097/00007611-198012000-00012,,https://pubmed.ncbi.nlm.nih.gov/7444547/,Sterilisation der Frau (Tubenligatur),Effizienzmaße,P9
Cost and efficacy comparison of in vitro fertilization and tubal anastomosis for women after tubal ligation,Publikation,"Messinger LB, Alford CE, Csokmay JM, Henne MB, Mumford SL, Segars JH, Armstrong AY",Fertil Steril,Jul;104(1):32-8.e4,+2015-01-01T00:00:00Z/9,10.1016/j.fertnstert.2015.04.019,In vitro fertilization (IVF); bilateral tubal anastomosis (BTA); cost effectiveness; decision tree; tubal reversal,https://pubmed.ncbi.nlm.nih.gov/26006734/,Sterilisation der Frau (Tubenligatur),Material des Verhütungsmittels,P5
Tubal ligation on an unmarried girl: How and why?,Publikation,Saldanha S,Indian J Med Ethics,Apr-Jun;1(2):116-7,+2016-01-01T00:00:00Z/9,10.20529/IJME.2016.031,,https://pubmed.ncbi.nlm.nih.gov/27260823/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
Tubal ligation with local anaesthesia,Publikation,Barss P,Trop Doct,Oct;15(4):175-9,+1985-01-01T00:00:00Z/9,10.1177/004947558501500410,,https://pubmed.ncbi.nlm.nih.gov/4049507/,Sterilisation der Frau (Tubenligatur),Material des Verhütungsmittels,P5
Patient education. Tubal ligation,Publikation,Murtagh J,Aust Fam Physician,Apr;22(4):611,+1993-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/8481125/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
Permanent Contraception for Women,Publikation,"Patil E, Jensen JT",Semin Reprod Med,May;34(3):139-44,+2016-01-01T00:00:00Z/9,10.1055/s-0036-1571434,,https://pubmed.ncbi.nlm.nih.gov/26960907/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
Female permanent contraception trends and updates,Publikation,"Fang NZ, Advaney SP, Castaño PM, Davis A, Westhoff CL",Am J Obstet Gynecol,Jun;226(6):773-780,+2022-01-01T00:00:00Z/9,10.1016/j.ajog.2021.12.261,female sterilization; permanent contraception; postpartum sterilization; tubal ligation,https://pubmed.ncbi.nlm.nih.gov/34973178/,Sterilisation der Frau (Tubenligatur),Geschlecht,"P3"
Comparing options for females seeking permanent contraception in high resource countries: a systematic review,Publikation,"Gormley R, Vickers B, Cheng B, Norman WV",Reprod Health,Jul 20;18(1):154,+2021-01-01T00:00:00Z/9,10.1186/s12978-021-01201-z,Hysteroscopic tubal occlusion; Laparoscopic tubal ligation; Levonorgestrel intrauterine contraceptive; Permanent contraception; Salpingectomy; Systematic review,https://pubmed.ncbi.nlm.nih.gov/34284794/,Sterilisation der Frau (Tubenligatur),Effizienzmaße,P9
Comparative Effectiveness and Safety of Intrauterine Contraception and Tubal Ligation,Publikation,"Schwarz EB, Lewis CA, Dove MS, Murphy E, Zuckerman D, Nunez-Eddy C, Tancredi DJ, McDonald-Mosley R, Sonalkar S, Hathaway M, Gariepy AM",J Gen Intern Med,Dec;37(16):4168-4175,+2022-01-01T00:00:00Z/9,10.1007/s11606-022-07433-4,Medicaid; comparative effectiveness; disparities; female sterilization; intrauterine contraception; low income; permanent contraception; reproductive justice; tubal ligation,https://pubmed.ncbi.nlm.nih.gov/35194746/,Sterilisation der Frau (Tubenligatur),Effizienzmaße,P9
Sperm transport and survival post-application of a new spermicide contraceptive. Advantage 24 Study Group,Publikation,"Sangi-Haghpeykar H, Poindexter AN 3rd, Levine H",Contraception,Jun;53(6):353-6,+1996-01-01T00:00:00Z/9,10.1016/0010-7824(96)00084-4,,https://pubmed.ncbi.nlm.nih.gov/8773422/,Spermizid,Effizienzmaße,P9
A randomized crossover trial of the impact of additional spermicide on condom failure rates,Publikation,"Gabbay MB, Thomas J, Gibbs A, Hold P",Sex Transm Dis,Oct;35(10):862-8,+2008-01-01T00:00:00Z/9,10.1097/OLQ.0b013e31817fb802,,https://pubmed.ncbi.nlm.nih.gov/18685543/,Spermizid,Effizienzmaße,P9
"Combining a synthetic spermicide with a natural trichomonacide for safe, prophylactic contraception",Publikation,"Jain A, Kumar L, Kushwaha B, Sharma M, Pandey A, Verma V, Sharma V, Singh V, Rawat T, Sharma VL, Maikhuri JP, Gupta G",Hum Reprod,Feb;29(2):242-52,+2014-01-01T00:00:00Z/9,10.1093/humrep/det423,DSE-37; Sapindus saponins; Trichomonas vaginalis; spermicide; vaginal contraception,https://pubmed.ncbi.nlm.nih.gov/24291662/,Spermizid,Material des Verhütungsmittels,P5
AF-2364 is a prospective spermicide candidate,Publikation,"Wang H, Chen XX, Wang LR, Mao YD, Zhou ZM, Sha JH",Asian J Androl,May;12(3):322-35,+2010-01-01T00:00:00Z/9,10.1038/aja.2010.11,,https://pubmed.ncbi.nlm.nih.gov/20418891/,Spermizid,Material des Verhütungsmittels,P5
Spermicide used alone for contraception,Publikation,"Grimes DA, Lopez LM, Raymond EG, Halpern V, Nanda K, Schulz KF",Cochrane Database Syst Rev,Sep 30;(9):CD005218,+2013-01-01T00:00:00Z/9,10.1002/14651858.CD005218.pub3,,https://pubmed.ncbi.nlm.nih.gov/24085632/,Spermizid,Geschlecht,"P3"
Update on nonoxynol-9 as vaginal spermicide,Publikation,"Iyer V, Poddar SS",Eur J Contracept Reprod Health Care,Dec;13(4):339-50,+2008-01-01T00:00:00Z/9,10.1080/13625180802263515,,https://pubmed.ncbi.nlm.nih.gov/19117251/,Spermizid,Material des Verhütungsmittels,P5
dl-Mandelic acid exhibits high sperm-immobilizing activity and low vaginal irritation: A potential non-surfactant spermicide for contraception,Publikation,"Xia M, Yang M, Wang Y, Tian F, Hu J, Yang W, Tao S, Lu L, Ding X, Jiang S, Li W",Biomed Pharmacother,Jun;126:110104,+2020-01-01T00:00:00Z/9,10.1016/j.biopha.2020.110104,Immobilization; Mandelic acid; Spermicide; Vaginal irritation,https://pubmed.ncbi.nlm.nih.gov/32224371/,Spermizid,Material des Verhütungsmittels,P5
Spermicide use and pregnancy outcome,Publikation,"Strobino B, Kline J, Warburton D",Am J Public Health,Mar;78(3):260-3,+1988-01-01T00:00:00Z/9,10.2105/ajph.78.3.260,,https://pubmed.ncbi.nlm.nih.gov/3341493/,Spermizid,Effizienzmaße,P9
The effectiveness of barrier methods of contraception with and without spermicide. Contraception,Publikation,"Craig S, Hepburn S",Contraception,Oct;26(4):347-59,+1982-01-01T00:00:00Z/9,10.1016/0010-7824(82)90102-0,,https://pubmed.ncbi.nlm.nih.gov/6759027/,Spermizid,Effizienzmaße,P9
"Evaluation of the contraceptive efficacy, compliance, and satisfaction with the transdermal contraceptive patch system Evra: a comparison between adolescent and adult users",Publikation,"Bodner K, Bodner-Adler B, Grünberger W",Arch Gynecol Obstet,Mar;283(3):525-30,+2011-01-01T00:00:00Z/9,10.1007/s00404-010-1368-6,,https://pubmed.ncbi.nlm.nih.gov/20111970/,Hormonpflaster,Effizienzmaße,P9
Cost-effectiveness and contraceptive effectiveness of the transdermal contraceptive patch,Publikation,"Sonnenberg FA, Burkman RT, Speroff L, Westhoff C, Hagerty CG",Am J Obstet Gynecol,Jan;192(1):1-9,+2005-01-01T00:00:00Z/9,10.1016/j.ajog.2004.09.004,,https://pubmed.ncbi.nlm.nih.gov/15671994/,Hormonpflaster,Effizienzmaße,P9
An evaluation of the use of the transdermal contraceptive patch in adolescents,Publikation,"Rubinstein ML, Halpern-Felsher BL, Irwin CE Jr",J Adolesc Health,May;34(5):395-401,+2004-01-01T00:00:00Z/9,10.1016/j.jadohealth.2003.08.017,,https://pubmed.ncbi.nlm.nih.gov/15093794/,Hormonpflaster,Effizienzmaße,P9
Integrated summary of Ortho Evra/Evra contraceptive patch adhesion in varied climates and conditions,Publikation,"Zacur HA, Hedon B, Mansour D, Shangold GA, Fisher AC, Creasy GW",Fertil Steril,Feb;77(2 Suppl 2):S32-5,+2002-01-01T00:00:00Z/9,10.1016/s0015-0282(01)03262-9,,https://pubmed.ncbi.nlm.nih.gov/11849634/,Hormonpflaster,Material des Verhütungsmittels,P5
New contraceptive patch wearability assessed by investigators and participants in a randomized phase 3 study,Publikation,"Kaunitz AM, Portman D, Westhoff CL, Mishell DR Jr, Archer DF, Foegh M",Contraception,Mar;91(3):211-6,+2015-01-01T00:00:00Z/9,10.1016/j.contraception.2014.11.013,Adhesiveness; Ethinyl estradiol; Itching; Levonorgestrel; Transdermal patch,https://pubmed.ncbi.nlm.nih.gov/25586864/,Hormonpflaster,Material des Verhütungsmittels,P5
"Randomized, double-blind, two-way crossover bioequivalence and adhesion study, in healthy women, of a transdermal contraceptive patch with a newly sourced adhesive component at the end of shelf life vs. the EVRA patch at the beginning of shelf life",Publikation,"Sanga M, Vaughan S, Nangosyah J, Scholz V, Fonseca S",Int J Clin Pharmacol Ther,Jan;60(1):67-78,+2022-01-01T00:00:00Z/9,10.5414/CP204034,,https://pubmed.ncbi.nlm.nih.gov/34779392/,Hormonpflaster,Material des Verhütungsmittels,P5
A review of transdermal hormonal contraception : focus on the ethinylestradiol/norelgestromin contraceptive patch,Publikation,Graziottin A,Treat Endocrinol,5(6):359-65,+2006-01-01T00:00:00Z/9,10.2165/00024677-200605060-00004,,https://pubmed.ncbi.nlm.nih.gov/17107221/,Hormonpflaster,Geschlecht,"P3"
The transdermal contraceptive patch: an updated review of the literature,Publikation,"O'Connell K, Burkman RT",Clin Obstet Gynecol,Dec;50(4):918-26,+2007-01-01T00:00:00Z/9,10.1097/GRF.0b013e318159c410,,https://pubmed.ncbi.nlm.nih.gov/17982334/,Hormonpflaster,Geschlecht,"P3"
The progestogen-only mini-pill,Publikation,"Graham S, Fraser IS",Contraception,Oct;26(4):373-88,+1982-01-01T00:00:00Z/9,10.1016/0010-7824(82)90104-4,,https://pubmed.ncbi.nlm.nih.gov/6759029/,Gestagenpille (Minipille),Geschlecht,"P3"
A study of women on the progestogen only pill,Publikation,Robertson MC,Practitioner,Apr;228(1390):435-9,+1984-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/6728816/,Gestagenpille (Minipille),Geschlecht,"P3"
"A double-blind study comparing the contraceptive efficacy, acceptability and safety of two progestogen-only pills containing desogestrel 75 micrograms/day or levonorgestrel 30 micrograms/day",Publikation,,Eur J Contracept Reprod Health Care,Dec;3(4):169-78,+1998-01-01T00:00:00Z/9,10.3109/13625189809167250,,https://pubmed.ncbi.nlm.nih.gov/10036599/,Gestagenpille (Minipille),Effizienzmaße,P10
Clinical experience with the progestogen-only pill,Publikation,"Broome M, Fotherby K",Contraception,Nov;42(5):489-95,+1990-01-01T00:00:00Z/9,10.1016/0010-7824(90)90077-9,,https://pubmed.ncbi.nlm.nih.gov/2125544/,Gestagenpille (Minipille),Effizienzmaße,P10
The progestogen-only pill,Publikation,Howie PW,Br J Obstet Gynaecol,Oct;92(10):1001-2,+1985-01-01T00:00:00Z/9,10.1111/j.1471-0528.1985.tb02993.x,,https://pubmed.ncbi.nlm.nih.gov/3840384/,Gestagenpille (Minipille),Effizienzmaße,P7
A review of the effectiveness of a progestogen-only pill containing norgestrel 75 µg/day,Publikation,"Glasier A, Sober S, Gasloli R, Goyal A, Laurora I",Contraception,Jan;105:1-6,+2022-01-01T00:00:00Z/9,10.1016/j.contraception.2021.08.016,,https://pubmed.ncbi.nlm.nih.gov/34499877/,Gestagenpille (Minipille),Effizienzmaße,P7
Maintenance of ovulation inhibition with a new progestogen-only pill containing drospirenone after scheduled 24-h delays in pill intake,Publikation,"Duijkers IJM, Heger-Mahn D, Drouin D, Colli E, Skouby S",Contraception,Apr;93(4):303-309,+2016-01-01T00:00:00Z/9,10.1016/j.contraception.2015.12.007,,https://pubmed.ncbi.nlm.nih.gov/26708301/,Gestagenpille (Minipille),Effizienzmaße,P9
Mechanism of action of norgestrel 0.075 mg a progestogen-only pill. I. Effect on ovarian activity,Publikation,"Glasier A, Edelman A, Creinin MD, Han L, Matulich MC, Brache V, Westhoff CL, Hemon A",Contraception,Aug;112:37-42,+2022-01-01T00:00:00Z/9,10.1016/j.contraception.2022.03.022,Contraception; Hoogland score; Ovulation; Pharmacodynamics; Progestogen-only pills,https://pubmed.ncbi.nlm.nih.gov/35351445/,Gestagenpille (Minipille),Effizienzmaße,P9
